Market segment (American English),Market segment (British English),Market segment (Australian English),Examples
Microcar,"Microcar, Bubble car",N/A,"Bond Bug, Isetta, Mega City, Renault Twizy"
Subcompact car,City car,Microcar,"Citroën C1, Fiat 500, Hyundai Eon, Mitsubishi i-MiEV, Renault Twingo"
Economy car,Supermini,Light car,"Ford Fiesta, Kia Rio, Opel Corsa, Peugeot 208, Volkswagen Polo"
Compact car,Small family car,Small car,"Honda Civic, Mazda3, Suzuki Ciaz, Renault Mégane, Toyota Corolla"
Mid-size car,Large family car,Medium car,"Chevrolet Malibu, Ford Fusion, Peugeot 508, Subaru Legacy, Volkswagen Passat"
Entry-level luxury car,Compact executive car,"Medium car above $60,000","Acura ILX, Alfa Romeo Giulia, Audi A4, Lexus ES, Mercedes-Benz C-Class"
Full-size car,Executive car,Large car,"Chevrolet Impala, Ford Taurus, Mazda Xedos 9, Hyundai Grandeur, Holden Commodore, first and second generation"
Mid-sizeluxury car,,"Large car above $70,000","Audi A6, BMW 5 Series, Cadillac CTS, Mercedes-Benz E-Class, Tesla Model S"
Full-sizeluxury car,Luxury car,"Upper large car above $100,000","BMW 7 Series, Lincoln Town Car, Mercedes-Benz S-Class, Porsche Panamera, Maserati Quattroporte"
Grand tourer,Grand tourer,Sports car,"Aston Martin DB9, Bentley Continental GT, Ferrari GTC4Lusso, Jaguar XK, Maserati GranTurismo"
Supercar,Supercar,,"Bugatti Veyron, LaFerrari, Lamborghini Aventador, Pagani Zonda, Porsche 918 Spyder"
Convertible,Convertible,,"BMW 6 Series, Chevrolet Camaro, Mercedes CLK, Volvo C70, Volkswagen Eos"
Roadster,Roadster,,"BMW Z4, Lotus Elise, Mazda MX-5, Porsche Boxster, Mercedes-Benz SLK"
—,Mini MPV,N/A,"Citroen C3 Picasso, Ford B-Max, Opel Meriva, Fiat 500L"
MPV,Compact MPV,People mover,"Chevrolet Orlando, Ford C-Max, Opel Zafira, Renault Scenic, Volkswagen Touran"
Minivan,Large MPV,,"Chrysler Town and Country, Kia Carnival, Citroën C4 Grand Picasso, Renault Espace, Toyota Sienna"
Cargo van,Van,Van,"Chevrolet Express 1500 Cargo, Fiat Ducato/Ram ProMaster, Ford Transit, Renault Master, Volkswagen Transporter"
Passenger van,Minibus,People mover,"Chevrolet Express 1500 Passenger, Ford E350 Wagon, Mercedes-Benz Viano"
Mini SUV,Mini 4x4,Small SUV,"Daihatsu Terios, Ford Ecosport, Jeep Renegade, Peugeot 2008, Suzuki Jimny"
Compact SUV,Compact SUV,Medium SUV,"Alfa Romeo Stelvio, Chevrolet Equinox, Ford Escape, Honda CR-V, Jeep Cherokee, Kia Sportage"
Mid-sizeSUV,Large 4x4,Large SUV,"Ford Expedition, Hyundai Santa Fe, Jeep Grand Cherokee, Volkswagen Touareg, Volvo XC90"
Full-sizeSUV,,Upper large SUV,"Range Rover, Cadillac Escalade, Toyota Land Cruiser"
Mini pickup truck,Pick-up,Ute,"Chevrolet Montana, Fiat Strada, Renault Duster Oroch, Volkswagen Saveiro"
Mid-size pickup truck,,,"Ford Ranger, Chevrolet Colorado, Mitsubishi Triton/L200, Nissan Navara, Toyota Hilux"
Full-size pickup truck,,Pickup,"Dodge Ram, Ford F-150, GMC Sierra, Nissan Titan, Toyota Tundra"
Heavy duty pickup truck,,,"Chevrolet Silverado HD, Ram Heavy Duty, Ford Super Duty"
Special purpose vehicle,—,Limousine,Lincoln MKT Livery
